id,user_input,trigger,action_1,action_2,action_3
841,"After an invoice is created, generate a PDF.",Invoice Generated,Generate PDF,,
842,"Whenever an invoice is produced, create a PDF document.",Invoice Generated,Generate PDF,,
843,"When a billing invoice is generated, export the document as PDF, notify the customer by email and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
844,"Every time an invoice is generated, send an email notification.",Invoice Generated,Send Email,,
845,"When an invoice is generated, export the document as PDF and send an email.",Invoice Generated,Generate PDF,Send Email,
846,"After generating an invoice, send a welcome email.",Invoice Generated,Send Email,,
847,"Whenever a new invoice is created, append a new row to the spreadsheet.",Invoice Generated,Update Spreadsheet,,
848,"Once an invoice is available, send an email notification.",Invoice Generated,Send Email,,
849,"When the invoice is ready, update the spreadsheet.",Invoice Generated,Update Spreadsheet,,
850,"Upon invoice generation, notify the customer by email and record the details in the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
851,"After an invoice is created, generate a PDF and send an email.",Invoice Generated,Generate PDF,Send Email,
852,"Whenever an invoice is produced, export the document as PDF.",Invoice Generated,Generate PDF,,
853,"When a billing invoice is generated, generate a PDF, send a welcome email and update the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
854,"When an invoice is generated, save the document as PDF and record the details in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
855,"After generating an invoice, create a PDF document, send a welcome email and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
856,"Whenever a new invoice is created, produce a PDF report and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
857,"Once an invoice is available, send a welcome email and add the data to the spreadsheet.",Invoice Generated,Send Email,Update Spreadsheet,
858,"When the invoice is ready, generate a PDF, notify the customer by email and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
859,"Upon invoice generation, create a PDF document and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
860,"After an invoice is created, create a PDF document and notify the customer by email.",Invoice Generated,Generate PDF,Send Email,
861,"Whenever an invoice is produced, produce a PDF report and send a welcome email.",Invoice Generated,Generate PDF,Send Email,
862,"When a billing invoice is generated, export the document as PDF.",Invoice Generated,Generate PDF,,
863,"Every time an invoice is generated, save the information in the spreadsheet.",Invoice Generated,Update Spreadsheet,,
864,"When an invoice is generated, save the document as PDF, send an email notification and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
865,"After generating an invoice, create a PDF document.",Invoice Generated,Generate PDF,,
866,"Whenever a new invoice is created, create a PDF document and save the information in the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
867,"Once an invoice is available, save the document as PDF, notify the customer by email and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
868,"When the invoice is ready, notify the customer by email.",Invoice Generated,Send Email,,
869,"Upon invoice generation, export the document as PDF and send a welcome email.",Invoice Generated,Generate PDF,Send Email,
870,"After an invoice is created, create a PDF document, send a welcome email and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Send Email,Update Spreadsheet
871,"Whenever an invoice is produced, generate a PDF and append a new row to the spreadsheet.",Invoice Generated,Generate PDF,Update Spreadsheet,
872,"When a billing invoice is generated, produce a PDF report and send a welcome email.",Invoice Generated,Generate PDF,Send Email,
873,"Every time an invoice is generated, produce a PDF report.",Invoice Generated,Generate PDF,,
874,"When a support ticket is created, send an email notification.",Support Ticket Created,Send Email,,
875,"After creating a support ticket, send the task to an employee.",Support Ticket Created,Assign to Employee,,
876,"Whenever a customer raises a support ticket, assign the case, alert the team on Slack and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
877,"Once a support request is submitted, assign the case.",Support Ticket Created,Assign to Employee,,
878,"When a new support case is opened, alert the team on Slack and notify the customer by email.",Support Ticket Created,Notify Slack,Send Email,
879,"After receiving a support request, assign the request to a team member.",Support Ticket Created,Assign to Employee,,
880,"Upon support ticket creation, alert the team on Slack.",Support Ticket Created,Notify Slack,,
881,"Whenever a help desk ticket is created, assign the task to an employee, send a Slack notification and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
882,"When a customer reports an issue, notify the customer by email.",Support Ticket Created,Send Email,,
883,"Every time a support ticket is opened, send a Slack alert.",Support Ticket Created,Notify Slack,,
884,"When a support ticket is created, assign the task to an employee.",Support Ticket Created,Assign to Employee,,
885,"After creating a support ticket, assign the request to a team member and alert the team on Slack.",Support Ticket Created,Assign to Employee,Notify Slack,
886,"Whenever a customer raises a support ticket, notify the Slack channel.",Support Ticket Created,Notify Slack,,
887,"Once a support request is submitted, assign the case, send a Slack alert and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
888,"When a new support case is opened, notify the Slack channel.",Support Ticket Created,Notify Slack,,
889,"After receiving a support request, send the task to an employee, post a message to Slack and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
890,"Upon support ticket creation, send an email notification.",Support Ticket Created,Send Email,,
891,"Whenever a help desk ticket is created, send an email.",Support Ticket Created,Send Email,,
892,"When a customer reports an issue, send a Slack alert.",Support Ticket Created,Notify Slack,,
893,"Every time a support ticket is opened, send the task to an employee, send a Slack notification and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
894,"When a support ticket is created, post a message to Slack and send an email.",Support Ticket Created,Notify Slack,Send Email,
895,"After creating a support ticket, send a Slack alert.",Support Ticket Created,Notify Slack,,
896,"Whenever a customer raises a support ticket, send the task to an employee, send a Slack notification and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
897,"Once a support request is submitted, email the customer.",Support Ticket Created,Send Email,,
898,"When a new support case is opened, send the task to an employee, send a Slack alert and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
899,"After receiving a support request, send the task to an employee, send a Slack alert and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
900,"Upon support ticket creation, assign the task to an employee, send a Slack alert and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
901,"Whenever a help desk ticket is created, send a Slack notification.",Support Ticket Created,Notify Slack,,
902,"When a customer reports an issue, send a welcome email.",Support Ticket Created,Send Email,,
903,"Every time a support ticket is opened, send a Slack notification.",Support Ticket Created,Notify Slack,,
904,"When a support ticket is created, send a Slack notification and send a welcome email.",Support Ticket Created,Notify Slack,Send Email,
905,"After creating a support ticket, allocate the work to an employee, post a message to Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
906,"Whenever a customer raises a support ticket, assign the request to a team member, send a Slack alert and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
907,"Once a support request is submitted, assign the case, post a message to Slack and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
908,"When a new support case is opened, assign the request to a team member, send a Slack alert and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
909,"After receiving a support request, email the customer.",Support Ticket Created,Send Email,,
910,"Upon support ticket creation, allocate the work to an employee, post a message to Slack and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
911,"Whenever a help desk ticket is created, send the task to an employee, notify the Slack channel and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
912,"When a customer reports an issue, alert the team on Slack.",Support Ticket Created,Notify Slack,,
913,"Every time a support ticket is opened, send the task to an employee, alert the team on Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
914,"When a support ticket is created, assign the task to an employee and send a Slack notification.",Support Ticket Created,Assign to Employee,Notify Slack,
915,"After creating a support ticket, send the task to an employee and email the customer.",Support Ticket Created,Assign to Employee,Send Email,
916,"Whenever a customer raises a support ticket, notify the Slack channel and email the customer.",Support Ticket Created,Notify Slack,Send Email,
917,"Once a support request is submitted, send the task to an employee, send a Slack notification and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
918,"When a new support case is opened, allocate the work to an employee, send a Slack notification and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
919,"After receiving a support request, allocate the work to an employee, send a Slack notification and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
920,"Whenever a help desk ticket is created, allocate the work to an employee, post a message to Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
921,"When a customer reports an issue, notify the Slack channel and send an email notification.",Support Ticket Created,Notify Slack,Send Email,
922,"Every time a support ticket is opened, post a message to Slack and send a welcome email.",Support Ticket Created,Notify Slack,Send Email,
923,"When a support ticket is created, allocate the work to an employee and send an email notification.",Support Ticket Created,Assign to Employee,Send Email,
924,"After creating a support ticket, assign the request to a team member.",Support Ticket Created,Assign to Employee,,
925,"Whenever a customer raises a support ticket, assign the request to a team member, send a Slack notification and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
926,"Once a support request is submitted, send the task to an employee.",Support Ticket Created,Assign to Employee,,
927,"When a new support case is opened, assign the request to a team member, notify the Slack channel and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
928,"After receiving a support request, assign the task to an employee, notify the Slack channel and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
929,"Upon support ticket creation, send the task to an employee and send an email.",Support Ticket Created,Assign to Employee,Send Email,
930,"Whenever a help desk ticket is created, post a message to Slack and notify the customer by email.",Support Ticket Created,Notify Slack,Send Email,
931,"When a customer reports an issue, assign the case and notify the Slack channel.",Support Ticket Created,Assign to Employee,Notify Slack,
932,"Every time a support ticket is opened, assign the task to an employee, alert the team on Slack and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
933,"When a support ticket is created, alert the team on Slack.",Support Ticket Created,Notify Slack,,
934,"After creating a support ticket, assign the case, post a message to Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
935,"Whenever a customer raises a support ticket, assign the request to a team member and notify the customer by email.",Support Ticket Created,Assign to Employee,Send Email,
936,"Once a support request is submitted, allocate the work to an employee, notify the Slack channel and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
937,"When a new support case is opened, assign the task to an employee, send a Slack alert and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
938,"After receiving a support request, allocate the work to an employee and send an email.",Support Ticket Created,Assign to Employee,Send Email,
939,"Upon support ticket creation, assign the case, send a Slack alert and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
940,"Whenever a help desk ticket is created, assign the request to a team member.",Support Ticket Created,Assign to Employee,,
941,"When a customer reports an issue, assign the request to a team member, send a Slack alert and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
942,"Every time a support ticket is opened, assign the task to an employee, alert the team on Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
943,"After creating a support ticket, send a Slack notification and send an email.",Support Ticket Created,Notify Slack,Send Email,
944,"Whenever a customer raises a support ticket, send a Slack alert.",Support Ticket Created,Notify Slack,,
945,"Once a support request is submitted, allocate the work to an employee.",Support Ticket Created,Assign to Employee,,
946,"When a new support case is opened, send a Slack alert and email the customer.",Support Ticket Created,Notify Slack,Send Email,
947,"After receiving a support request, allocate the work to an employee, post a message to Slack and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
948,"Upon support ticket creation, send a Slack notification.",Support Ticket Created,Notify Slack,,
949,"Whenever a help desk ticket is created, notify the customer by email.",Support Ticket Created,Send Email,,
950,"When a customer reports an issue, allocate the work to an employee and post a message to Slack.",Support Ticket Created,Assign to Employee,Notify Slack,
951,"Every time a support ticket is opened, alert the team on Slack and notify the customer by email.",Support Ticket Created,Notify Slack,Send Email,
952,"When a support ticket is created, allocate the work to an employee, send a Slack notification and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
953,"After creating a support ticket, notify the Slack channel.",Support Ticket Created,Notify Slack,,
954,"Whenever a customer raises a support ticket, send the task to an employee, send a Slack alert and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
955,"Once a support request is submitted, send the task to an employee, send a Slack alert and notify the customer by email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
956,"When a new support case is opened, assign the request to a team member, send a Slack alert and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
957,"After receiving a support request, send a Slack alert.",Support Ticket Created,Notify Slack,,
958,"Upon support ticket creation, send the task to an employee, notify the Slack channel and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
959,"Whenever a help desk ticket is created, assign the case, send a Slack notification and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
960,"When a customer reports an issue, allocate the work to an employee, notify the Slack channel and send an email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
961,"Every time a support ticket is opened, allocate the work to an employee and email the customer.",Support Ticket Created,Assign to Employee,Send Email,
962,"When a support ticket is created, assign the request to a team member.",Support Ticket Created,Assign to Employee,,
963,"After creating a support ticket, assign the case, notify the Slack channel and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
964,"Whenever a customer raises a support ticket, allocate the work to an employee, send a Slack alert and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
965,"Once a support request is submitted, allocate the work to an employee, send a Slack alert and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
966,"When a new support case is opened, send the task to an employee, post a message to Slack and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
967,"After receiving a support request, send a Slack alert and send a welcome email.",Support Ticket Created,Notify Slack,Send Email,
968,"Upon support ticket creation, assign the request to a team member, notify the Slack channel and send an email notification.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
969,"Whenever a help desk ticket is created, assign the request to a team member, send a Slack notification and email the customer.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
970,"When a customer reports an issue, assign the case, alert the team on Slack and send a welcome email.",Support Ticket Created,Assign to Employee,Notify Slack,Send Email
971,"Every time a support ticket is opened, post a message to Slack and send an email.",Support Ticket Created,Notify Slack,Send Email,
